,DIRECCION,sum_personas,internet,agua,banco,iglesia,dejar_hijos,avg_personas,tiempo_casa,cuantas_trabajan,tiempo_trabajan,pierden_colegio,bautizadas,PADRE,MADRE,F,M,NINOS,MAYORES,primer_hijo,ingreso,household_count,bap_prop,bap_prop_col,ingreso_col
0,LA RINCONADA,79,0.0,1.0,0.0,0.9090909090909091,0.9090909090909091,7.181818181818182,17.727272727272727,1.8181818181818181,1.1409090909090909,1.8181818181818181,2.272727272727273,0.36363636363636365,1.0,3.272727272727273,2.1818181818181817,3.1818181818181817,0.36363636363636365,22.0,700.0,11,0.31645569620253167,low,medium
1,LOS ROSALES,63,0.8,1.0,0.1,0.7,1.0,6.3,13.62,1.4,1.05,2.5555555555555554,2.6666666666666665,0.8,1.0,3.1,2.7,3.9,0.0,19.5,900.0,10,0.42328042328042326,medium,high
2,MANUEL SCORZA,58,0.0,1.0,0.0,1.0,0.0,5.2727272727272725,25.90909090909091,1.1,1.58125,0.75,3.3636363636363638,0.8181818181818182,1.0,1.9090909090909092,1.8181818181818181,1.8181818181818181,0.09090909090909091,19.5,800.0,11,0.6379310344827587,high,medium
3,LAS ROCAS,58,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.8461538461538461,0.23076923076923078,4.461538461538462,5.923076923076923,1.1538461538461537,1.7615384615384615,4.333333333333333,2.25,0.6153846153846154,1.0,1.6923076923076923,2.0,1.7692307692307692,0.0,21.0,750.0,13,0.5043103448275862,medium,medium
4,EL NAZARENO,55,0.0,1.0,0.0,1.0,0.0,7.857142857142857,35.0,1.5714285714285714,1.1428571428571428,0.0,7.285714285714286,0.0,1.0,3.0,2.142857142857143,4.142857142857143,0.0,20.0,300.0,7,0.9272727272727272,high,low
5,PROGRAMA MUNICIPAL DE V. UNICA,54,0.0,1.0,0.0,1.0,0.0,5.4,15.7,1.1,1.365,1.5555555555555556,3.5,0.5,0.8,2.1,1.9,2.5,0.0,22.5,940.0,10,0.6481481481481481,high,high
6,OTRO CASO,54,0.18181818181818182,0.8181818181818182,0.36363636363636365,0.8181818181818182,0.625,4.909090909090909,14.663636363636364,1.5454545454545454,1.25,2.3333333333333335,3.5,0.45454545454545453,0.9090909090909091,2.5454545454545454,2.1818181818181817,2.1818181818181817,0.09090909090909091,20.0,700.0,11,0.7129629629629629,high,medium
7,LAS TORRES,53,0.3,0.5,0.0,0.9,0.1,5.3,12.3,1.0,0.9222222222222223,0.2222222222222222,2.2,0.8,1.0,2.5,2.0,2.6,0.0,19.0,825.0,10,0.4150943396226416,medium,high
8,COMEDOR CORAZON DE JESUS,52,0.18181818181818182,1.0,0.2727272727272727,0.8181818181818182,0.8,4.7272727272727275,16.454545454545453,1.2222222222222223,1.4444444444444444,3.7142857142857144,3.1818181818181817,0.18181818181818182,0.9090909090909091,2.272727272727273,1.8181818181818181,3.0,0.0,21.0,600.0,11,0.673076923076923,high,low
9,VILLA SAN JUAN,49,0.0,1.0,0.08333333333333333,0.9090909090909091,0.25,4.083333333333333,13.090909090909092,1.25,0.7444444444444445,3.8,2.3333333333333335,0.5,1.0,2.4166666666666665,1.8333333333333333,2.75,0.0,20.0,400.0,12,0.5714285714285715,medium,low
10,NUEVO MILENIO,49,0.0,1.0,0.0,1.0,0.4,4.9,11.0,1.3,0.55,3.125,2.3,0.8,1.0,3.1,2.3,3.4,0.1,21.5,700.0,10,0.4693877551020407,medium,medium
11,LOS JARDINES,47,0.0,0.5,0.0,1.0,0.25,5.875,18.75,1.5,0.7571428571428572,3.0,3.7142857142857144,0.25,1.0,3.5714285714285716,2.5714285714285716,4.142857142857143,0.14285714285714285,19.5,675.0,8,0.6322188449848024,high,medium
12,MINAS 2000,46,0.375,1.0,0.25,0.625,0.375,5.111111111111111,14.0,1.3333333333333333,1.1875,3.357142857142857,2.0,0.6666666666666666,0.8888888888888888,2.5555555555555554,2.0,1.6666666666666667,0.0,21.0,800.0,9,0.391304347826087,medium,medium
13,CASA HUERTA,44,0.0,0.3333333333333333,0.0,1.0,0.4444444444444444,4.888888888888889,17.25,1.3333333333333333,0.8666666666666666,1.6666666666666667,2.5,0.5555555555555556,1.0,2.5555555555555554,2.0,2.3333333333333335,0.0,20.0,220.0,9,0.5113636363636364,medium,low
14,LAS TERRAZAS,44,0.0,0.0,0.0,1.0,0.5555555555555556,4.888888888888889,13.11111111111111,1.2222222222222223,1.0,3.0,2.2,0.6666666666666666,1.0,3.111111111111111,2.0,2.4444444444444446,0.0,20.0,850.0,9,0.45,medium,high
15,SENOR DE QOYLLOR RITTY,43,0.3333333333333333,0.7777777777777778,0.2222222222222222,0.875,0.8571428571428571,4.777777777777778,13.0,2.6666666666666665,1.5,6.75,2.6666666666666665,0.6666666666666666,1.0,2.6666666666666665,1.8888888888888888,2.3333333333333335,0.0,18.0,680.0,9,0.5581395348837209,medium,medium
16,NUEVA ALBORADA,43,0.7,0.8,0.0,0.6,0.4,4.3,4.6,1.5,1.3888888888888888,2.0,1.5,0.6,0.9,2.3,1.6,1.9,0.0,21.5,950.0,10,0.3488372093023256,low,high
17,NADINE HEREDIA,43,0.0,0.42857142857142855,0.0,1.0,0.5714285714285714,6.142857142857143,5.285714285714286,1.2857142857142858,1.2,2.5,0.42857142857142855,0.14285714285714285,1.0,4.285714285714286,1.7142857142857142,4.428571428571429,0.0,18.0,250.0,7,0.0697674418604651,low,low
18,LOMAS DE MINAS,42,0.0,0.8888888888888888,0.0,0.7777777777777778,0.3333333333333333,4.666666666666667,14.88888888888889,1.5555555555555556,0.6666666666666666,1.125,2.3333333333333335,0.7777777777777778,1.0,2.5555555555555554,2.111111111111111,2.6666666666666665,0.0,20.0,600.0,9,0.5,medium,low
19,PARCELA 23A,41,0.0,1.0,0.0,0.8571428571428571,0.8571428571428571,5.857142857142857,11.0,1.4285714285714286,0.96,1.5,2.5,0.7142857142857143,1.0,2.7142857142857144,2.4285714285714284,3.0,0.14285714285714285,22.0,600.0,7,0.426829268292683,medium,low
20,7 DE ENERO,41,0.2,0.8,0.2,0.8,1.0,8.2,14.8,1.8,0.75,1.2,3.6,0.8,1.0,4.0,3.0,4.8,0.0,20.0,900.0,5,0.4390243902439025,medium,high
21,VISTA ALEGRE,41,0.0,0.875,0.0,0.875,0.125,5.125,9.375,1.125,1.5,2.0,2.142857142857143,0.625,1.0,3.25,1.75,2.75,0.125,18.5,350.0,8,0.4181184668989547,medium,low
22,GIRASOLES PARTE BAJA,39,0.0,0.875,0.0,1.0,0.25,4.875,13.625,0.875,0.5666666666666667,1.75,1.5,0.5,1.0,2.5,2.0,2.875,0.0,19.5,650.0,8,0.3076923076923077,low,medium
23,URANMARCA,38,0.0,0.125,0.0,1.0,0.875,4.75,5.25,1.0,1.5625,0.7142857142857143,2.25,0.0,1.0,2.0,1.625,1.5,0.25,20.0,375.0,8,0.47368421052631576,medium,low
24,VILLA SOL ALTA,36,0.1,0.0,0.0,1.0,0.3333333333333333,3.6,16.6,1.4,1.5555555555555556,0.25,2.8,0.3,0.8,1.5,1.5,1.5,0.1,21.0,825.0,10,0.7777777777777777,high,high
25,VILLA HORIZONTE,36,0.0,1.0,0.0,1.0,0.0,5.142857142857143,13.0,1.1666666666666667,1.4166666666666667,1.8333333333333333,3.0,0.8571428571428571,1.0,2.5714285714285716,2.4285714285714284,2.5714285714285716,0.14285714285714285,20.0,720.0,7,0.5833333333333333,high,medium
26,VILLA SOL PARTE BAJA,35,0.0,1.0,0.125,0.875,0.375,4.375,12.0,1.25,0.9285714285714286,1.0,2.375,0.5,1.0,2.875,1.375,2.0,0.0,18.0,750.0,8,0.5428571428571428,medium,medium
27,REPUBLICA DEMOCRATICA ALEMANA,34,0.0,1.0,0.0,1.0,0.0,6.8,22.0,1.0,0.5700000000000001,0.5,1.4,0.6,1.0,3.8,3.2,4.0,0.0,22.0,600.0,5,0.20588235294117646,low,low
28,GIRASOLES ALTO,33,0.0,0.3333333333333333,0.0,0.8333333333333334,0.3333333333333333,5.5,12.833333333333334,1.0,1.2666666666666666,2.0,3.5,0.6666666666666666,1.0,2.8333333333333335,1.6666666666666667,2.3333333333333335,0.0,23.0,600.0,6,0.6363636363636364,high,low
29,LAS VIOLETAS,33,0.0,1.0,0.0,1.0,0.0,5.5,17.0,1.1666666666666667,1.05,5.0,1.1666666666666667,0.8333333333333334,0.8333333333333334,2.0,1.3333333333333333,1.6666666666666667,0.0,18.0,700.0,6,0.21212121212121213,low,medium
30,LADREAS DE VILLA,32,0.0,1.0,0.0,1.0,0.8,6.4,27.2,1.8,1.3,1.8,5.8,0.8,1.0,3.4,2.6,3.6,0.2,21.0,600.0,5,0.9062499999999999,high,low
31,PAMPAS DE SAN JUAN,30,0.0,0.0,0.0,1.0,0.25,7.5,32.75,1.5,0.0,3.3333333333333335,3.75,0.5,1.0,2.25,2.25,2.75,0.0,22.5,880.0,4,0.5,medium,high
32,LOS VENCEDORES DE LA RINCONADA,30,0.0,1.0,0.0,1.0,0.8,6.0,3.4,1.0,1.1300000000000001,0.0,3.0,0.4,1.0,3.6,1.8,4.0,0.0,18.0,750.0,5,0.5,medium,medium
33,COMEDOR: CRUZ DE MOTUPE,29,0.2,0.2,0.0,1.0,0.6,5.8,16.6,1.2,0.6,3.6,4.0,0.8,1.0,2.6,2.0,2.4,0.0,20.0,200.0,5,0.6896551724137931,high,low
34,PORTADA DEL SOL,28,0.14285714285714285,0.5714285714285714,0.0,1.0,0.5,4.0,15.714285714285714,1.1428571428571428,1.0,2.6,2.4,0.2857142857142857,1.0,2.142857142857143,1.1428571428571428,1.7142857142857142,0.14285714285714285,18.0,700.0,7,0.6,high,medium
35,LOS PEDREGALES 2000,28,0.0,1.0,0.0,0.8,0.0,5.6,10.8,1.2,1.4,2.0,1.8,0.8,1.0,2.4,3.2,2.0,0.4,22.0,900.0,5,0.32142857142857145,low,high
36,LOS SAUCES,27,0.0,0.42857142857142855,0.0,1.0,0.8571428571428571,3.857142857142857,18.428571428571427,1.0,0.7428571428571429,1.4285714285714286,1.4285714285714286,0.8571428571428571,0.8571428571428571,2.4285714285714284,1.7142857142857142,2.0,0.0,20.5,650.0,7,0.37037037037037035,low,medium
37,GARDENIAS,27,0.2,1.0,0.0,1.0,0.5,4.5,14.0,1.1666666666666667,1.5,1.1666666666666667,2.6,0.0,1.0,2.6666666666666665,2.0,3.1666666666666665,0.0,20.5,325.0,6,0.5777777777777778,high,low
38,LAS MORAS ZONAC,27,0.0,0.4,0.0,1.0,0.6,5.4,8.0,1.4,0.9199999999999999,0.2,2.4,0.6,1.0,2.4,2.6,3.0,0.0,19.0,930.0,5,0.4444444444444444,medium,high
39,CERRO AZUL - NUEVA RINCONADA,27,0.0,0.16666666666666666,0.0,1.0,0.3333333333333333,4.5,3.1666666666666665,1.8333333333333333,1.7,2.0,2.3333333333333335,0.6666666666666666,1.0,2.6666666666666665,1.8333333333333333,2.6666666666666665,0.0,21.5,750.0,6,0.5185185185185186,medium,medium
40,NUEVA GENERACION,27,0.6,0.8,0.0,1.0,0.0,5.4,13.4,1.4,0.6,1.5,2.5,0.4,1.0,2.6,2.0,2.2,0.2,18.0,750.0,5,0.4629629629629629,medium,medium
41,BELLAVISTA 1,26,0.4,0.8,0.0,0.6,0.6,5.2,7.6,1.2,1.1,0.6666666666666666,1.8,0.8,1.0,3.0,1.8,2.6,0.0,19.0,800.0,5,0.34615384615384615,low,medium
42,LOS PORTALES,26,0.0,0.8,0.0,0.8,0.0,5.2,16.0,1.4,0.9,0.0,3.6,0.6,1.0,2.0,1.6,1.4,0.0,20.0,850.0,5,0.6923076923076923,high,high
43,VILLA SAN JUAN II,26,0.0,1.0,0.0,1.0,0.8333333333333334,4.333333333333333,16.5,1.5,1.25,1.8333333333333333,2.5,0.16666666666666666,1.0,1.6666666666666667,1.8333333333333333,2.0,0.0,25.5,425.0,6,0.576923076923077,high,low
44,LADERAS DE STA CRUZ,25,0.0,1.0,0.0,1.0,0.0,5.0,15.0,1.2,0.9,1.6,3.6,0.8,1.0,2.2,2.0,2.2,0.0,22.0,650.0,5,0.72,high,medium
45,EL TREBOL SANTA TERESITA NIÌÎÌÓO JESUS,24,0.0,0.2,0.0,1.0,0.2,4.8,12.6,1.0,1.2,0.2,4.8,0.8,0.6,2.4,2.6,3.4,0.2,18.0,850.0,5,1.0,high,high
46,VILLA LAS TUNAS,23,0.0,1.0,0.0,1.0,0.8,4.6,18.0,1.0,1.625,2.5,3.6,0.6,0.8,2.2,2.4,2.4,0.2,21.5,800.0,5,0.782608695652174,high,medium
47,LAS AMERICAS,23,0.0,0.0,0.0,0.2857142857142857,0.0,3.2857142857142856,17.428571428571427,0.6666666666666666,0.2,,2.5,0.42857142857142855,1.0,1.8571428571428572,1.2857142857142858,1.4285714285714286,0.0,18.0,400.0,7,0.7608695652173914,high,low
48,SENOR DE LOS MILAGROS,22,0.0,1.0,0.0,1.0,0.75,5.5,15.0,1.75,1.6666666666666667,3.0,1.6666666666666667,0.5,1.0,3.0,2.0,3.0,0.0,21.0,535.0,4,0.30303030303030304,low,low
49,C16 LA NUEVA JUVENTUD,22,0.0,1.0,0.0,1.0,1.0,5.5,12.0,1.0,0.3625,2.25,2.75,0.25,1.0,2.5,3.0,4.0,0.0,20.0,410.0,4,0.5,medium,low
