id,internet,agua,banco,iglesia,dejar_hijos,cuantas_personas,tiempo_casa,primer_hijo,cuantas_trabajan,tiempo_trabajan,pierden_colegio,ingreso,bautizadas
792,1,0,1,0,0,8,50,20,3,0.5,,2000,6
791,0,1,1,0,1,10,20,19,2,1,,2000,10
790,1,1,1,1,,3,15,,1,1.5,,1800,3
793,0,1,1,1,1,6,0.3,21,3,1.5,,1200,3
234,0,1,0,1,1,3,18,21,1,1,,400,2
794,0,0,0,1,0,4,3,20,1,2,2,900,0
795,0,1,0,1,1,5,4,18,1,1,3,400,2
796,0,1,0,1,1,6,18,17,1,1,2,500,4
797,0,1,0,0,,1,18,25,,,,,1
798,0,1,0,1,,4,30,22,1,2,,600,4
799,0,1,0,1,0,4,2,19,2,1,,700,
800,0,1,0,1,,1,1,,1,,,300,1
225,0,1,0,1,0,8,25,18,1,2.5,0,800,8
226,0,1,0,1,0,6,19,17,1,3,0,800,6
227,0,1,0,1,0,3,25,33,1,2,0,800,3
228,0,1,0,1,0,3,27,20,2,1,,,3
229,0,1,0,1,0,11,29,18,2,1.5,,1500,2
230,0,1,0,1,,2,30,,,,,250,2
231,0,1,0,1,0,5,30,18,1,,,,5
232,0,1,0,1,0,8,44,25,1,,,500,4
233,0,1,0,1,0,7,30,29,1,,,800,5
1,,,,,,8,18,27,2,1,2,900,
2,0,1,0,1,1,4,15,25,1,1,10,400,
3,1,1,0,1,0,3,18,19,1,,,500,2
4,0,1,0,1,0,5,13,20,,,,,
5,0,0,1,0,1,8,3,17,1,,1,930,3
6,0,1,0,0,1,6,,,1,,,930,0
7,1,1,0,1,0,7,,,1,1,,600,0
8,0,1,0,1,1,3,15,20,1,1,4,400,2
9,1,1,0,1,0,8,15,22,2,2,1,800,1
10,0,1,0,1,0,6,10,20,1,1.5,,700,
11,0,1,0,0,1,6,13,20,1,3,10,800,
12,1,1,0,0,1,4,10,21,2,1,2,900,4
13,0,1,1,0,1,7,12,17,2,2,3,,
14,0,1,0,0,1,5,10,,1,1,2,,
15,0,1,0,1,1,6,17,25,1,2,5,,2
16,0,1,1,0,0,7,15,25,2,1,2,900,2
17,0,1,0,1,1,4,10,18,1,1,5,500,
18,0,1,1,1,0,4,10,,1,1,1.5,850,
19,0,1,0,1,0,6,13,,4,1,,,
20,0,1,0,1,0,3,18,23,1,0.5,1,600,2
94,0,0,0,1,1,7,12,23,3,1,0,680,4
95,0,1,0,1,0,4,13,23,1,0,,500,3
96,0,1,0,1,0,4,10,19,1,0,2,550,2
97,0,1,0,1,0,5,9,23,1,0,0,700,4
98,0,1,0,1,0,4,18,20,1,1,2,550,1
99,0,0,0,1,0,5,10,29,1,,,,4
100,0,1,0,0,0,6,18,19,1,0,5,520,1
101,0,1,0,1,1,5,18,18,1,2,0,650,3
102,0,1,0,0,1,2,18,20,3,1,0,600,1
103,0,1,0,1,0,5,18,20,2,1,0,650,2
164,1,1,0,1,0,3,18,20,1,2.5,1,950,
165,0,1,0,1,1,4,18,24,1,2,8,950,
166,0,1,0,1,1,4,18,22,1,2,2,850,2
167,1,1,0,1,0,4,18,32,1,2.5,,950,3
168,0,1,0,1,0,4,18,,1,1,,850,
169,1,1,0,,1,2,18,23,1,,2,850,
662,0,1,0,1,1,5,5,22,1,2,10,1400,0
663,0,1,0,1,0,6,5,21,1,,3,,1
664,0,1,0,1,0,6,5,17,1,3,,,3
665,0,1,0,1,0,10,5,19,1,3,,200,2
666,0,1,0,1,0,4,3,24,1,2,,200,
250,0,1,0,1,1,4,33,23,2,1,2,500,4
251,0,1,0,1,1,4,30,18,1,1,2,500,2
252,0,0,0,1,1,3,6,31,1,1,0,700,3
253,0,0,0,1,1,4,25,37,2,1,0,600,4
647,0,1,0,1,0,5,2,23,1,1.5,,750,2
648,0,0,0,1,0,4,3,23,1,2,1,750,2
649,0,0,0,1,1,6,2,18,7,1.5,,750,5
650,0,0,0,1,0,4,3,17,1,3,,1000,2
651,0,0,0,1,1,5,4,20,0,,3,0,1
652,0,0,0,1,0,3,5,25,1,0.5,,500,2
618,0,1,0,0,1,4,7,23,,,3,,1
619,0,0,0,0,1,6,5,19,,,3,,1
620,0,0,0,1,0,4,7,25,,,2,,2
621,0,0,0,0,0,7,7,15,,,2,,0
622,0,0,0,1,0,4,3,17,,,,,2
623,0,1,0,1,0,5,7,20,,,5,,3
189,0,1,0,1,1,4,20,19,1,1,2,650,1
190,0,1,0,1,1,5,20,20,1,0.7,2,750,4
191,0,0,0,1,1,6,15,18,1,0.5,1,650,2
192,0,1,0,1,1,4,8,26,1,1,0,700,0
193,0,0,0,1,0,1,30,0,1,0.5,0,400,1
194,0,1,0,1,1,4,20,21,1,1,2,650,0
195,0,0,0,1,1,4,18,17,1,1,3,700,0
196,0,0,0,1,1,3,18,26,1,0.5,2,650,3
361,0,1,0,1,0,7,11,20,1,,1.5,,5
362,0,1,0,1,0,4,4,15,1,,,,
327,1,1,0,0,0,6,6,19,2,1,1,800,5
328,1,1,0,1,1,3,4,25,1,1.5,4,700,0
329,0,0,0,1,0,5,4,17,2,1,,800,2
330,1,0,0,1,0,3,1,25,1,,,1000,
331,1,1,0,1,0,4,6,18,2,2,2,1000,1
332,1,1,0,1,0,5,6,28,1,1.5,1,1200,2
333,1,1,0,0,1,5,6,20,2,2,2,1000,
334,0,1,0,0,1,5,3,23,1,1.5,,1200,1
335,1,1,0,0,1,5,5,17,2,1.5,2,900,0
336,0,1,0,1,0,2,5,34,1,30,2,500,1
170,0,0,0,1,0,4,11,18,2,1,2,800,3
171,0,0,0,1,1,5,18,25,2,,,200,4
172,0,0,0,1,0,6,20,18,1,0.6,1,220,
173,0,0,0,1,1,6,20,18,1,1,,,6
174,0,1,0,1,1,4,6,23,1,1,,200,3
175,0,0,0,1,0,7,22,21,1,1,,100,1
176,0,0,0,1,1,7,14,17,,,3,,
177,0,0,0,1,1,5,,,1,0.6,,200,
178,0,0,0,0,0,4,15,,1,,,,
179,0,0,0,1,1,7,14,23,1,0.6,,,
180,0,,0,0,1,7,20,20,,,,,5
181,0,1,0,1,0,3,16,20,0,,,,3
182,0,0,0,1,0,6,19,16,1,,,300,3
183,0,1,0,1,0,3,22,21,2,,,2080,
750,0,1,0,1,1,12,30,24,2,1,2,800,5
751,0,1,0,1,1,7,28,18,2,2,1,900,1
752,0,1,0,0,1,3,3,2,1,2,3,930,3
753,0,1,0,1,1,12,28,25,2,0.3,2,800,1
754,0,1,0,1,1,15,10,21,1,0.5,3,800,0
40,0,1,0,0,0,5,18,20,1,2.5,,800,2
41,0,0,0,1,0,5,3,17,2,1.5,6,1000,1
42,1,0,0,1,1,5,4,25,1,1,4,930,3
43,0,0,0,1,1,4,3,23,1,20,3,500,2
44,1,0,0,1,0,5,18,23,1,2,,900,
45,0,1,0,0,1,4,3,20,2,0.5,10,600,3
32,0,1,0,1,0,6,18,18,2,0.5,0,,6
33,0,1,0,1,0,4,18,30,1,2,3,800,4
34,0,1,0,1,0,5,18,16,1,0.5,2,,5
35,0,1,0,1,0,5,18,17,1,2,4,,5
36,0,1,0,1,0,4,18,17,1,2,1,,4
37,0,1,0,1,0,4,18,19,1,2,3,,4
38,0,1,0,1,0,1,18,18,1,2,1,,3
39,0,1,0,1,0,4,18,19,1,1,4,,4
214,0,0,0,0,1,7,9,27,1,60,7,600,0
108,0,1,0,1,1,5,18,18,1,2,3,800,3
109,0,1,0,1,0,2,18,,,,,65,2
110,0,1,0,1,0,7,18,22,1,1,3,7500,3
111,0,1,0,1,1,4,18,20,1,0.5,2,800,4
112,0,1,0,1,1,7,18,23,1,3,2,850,5
113,0,1,0,1,1,5,18,25,1,1,3,850,4
744,0,1,0,1,1,6,18,20,1,0.6,2,500,3
745,0,1,0,1,0,7,10,19,1,1,7,450,3
746,0,1,0,1,0,6,18,14,1,5,7,320,4
775,0,1,0,1,0,7,6,15,1,0.1,5,360,6
119,1,1,0,0,1,7,16,17,1,1.5,2,500,2
121,1,1,0,0,1,5,18,19,2,0,2,800,2
122,1,1,0,1,1,7,14,20,1,0,1,900,2
123,1,1,0,1,1,6,18,22,1,1.5,2,900,2
124,1,1,0,1,1,8,18,18,2,1,2,1000,7
125,1,1,0,1,1,11,18,24,2,2,3,1000,5
126,1,1,0,0,0,4,9,27,1,1,1,8500,7
127,1,1,0,1,,3,18,24,1,1,,900,3
128,0,1,0,1,1,7,6,16,2,1,4,1000,
129,1,1,0,0,1,3,10,24,1,1,1,600,1
130,,1,0,0,,2,18,,,,,,
131,0,1,1,1,1,6,0.2,15,1,1.5,6,600,0
755,0,0,0,1,0,6,18,17,3,,,950,3
756,0,0,0,1,1,5,32,20,2,1,0,950,3
757,0,0,0,1,1,3,24,25,0,0,0,,2
758,0,0,0,1,0,5,24,21,2,1.5,0,950,4
759,0,0,0,1,0,5,24,22,1,1,0,850,
300,0,1,0,0,0,3,1,20,,,,400,2
301,0,1,1,1,,1,18,28,1,2,,300,1
302,0,1,0,1,1,4,18,28,1,2,1,800,0
303,0,1,0,1,1,7,18,20,3,1,4,800,6
304,1,1,0,1,1,6,18,16,1,1,,800,5
305,0,1,0,1,1,5,18,22,1,1,5,400,4
306,0,1,0,0,1,5,18,23,,,4,350,3
307,1,1,1,1,1,5,18,17,1,1,7,600,4
308,0,1,1,1,1,4,18,22,1,2,2,500,4
309,0,1,0,1,1,4,18,21,1,2,3,600,4
310,0,1,0,1,0,8,18,16,1,1,,800,2
311,0,1,0,1,0,3,18,18,1,,,700,3
312,0,,0,1,1,5,18,22,2,,,,5
313,0,1,1,1,1,4,10,18,1,2,0,850,2
314,0,1,0,1,1,5,2,22,2,0.5,2,750,2
315,0,1,0,1,0,1,18,20,1,1,,750,1
316,0,1,0,1,1,5,13,,2,1,3,700,3
317,0,1,0,1,0,5,16,18,1,1,0,800,4
318,0,1,0,1,0,6,16,24,1,1,0,800,4
737,0,1,0,0,0,6,3,18,1,0,1,300,0
738,0,1,0,0,0,2,5,18,1,0.6,0,500,1
739,0,1,0,0,0,5,3,24,1,2,2,500,3
740,0,1,0,1,0,4,6,19,1,2,0,200,3
741,0,1,0,1,0,4,6,26,1,1,2,400,2
742,0,1,0,1,0,6,6,17,1,2,3,500,4
670,0,1,0,1,0,7,14,25,1,1.5,1,950,2
671,0,1,0,1,0,4,10,25,1,1.5,0,850,1
672,0,1,0,1,0,7,18,19,1,2,,1000,2
202,0,1,0,1,0,2,5,22,1,1,,500,2
203,0,1,0,0,1,4,17,20,1,1.5,1,400,2
204,0,1,0,1,1,7,7,19,2,0.5,2,1200,4
205,0,1,0,1,0,4,16,18,1,0.2,,400,2
206,0,1,1,1,1,4,18,15,1,,,200,1
207,0,1,0,,0,4,12,24,1,,2,300,3
208,0,1,0,1,0,4,18,28,1,1,,400,3
209,0,1,0,1,0,5,18,13,3,1,,200,2
210,0,1,0,1,0,4,14,18,1,0.5,2,300,2
212,,1,0,1,0,2,,,1,,,400,1
219,0,1,0,1,0,5,17,20,1,0.5,,700,4
772,0,1,0,1,1,6,14,18,1,1.5,0,700,3
743,0,1,0,1,1,6,4,19,1,0.15,4,430,5
747,0,1,0,1,1,6,18,22,1,0.3,1,400,0
748,0,1,0,1,1,5,18,20,1,0.5,2,420,2
749,0,1,0,1,1,5,8,20,1,0.5,2,350,4
631,0,0,0,1,1,4,7,15,1,0.2,0,200,2
632,0,0,0,1,1,7,5,22,2,2,0,250,0
633,0,1,0,1,1,8,6,20,2,0,5,300,1
634,0,0,0,1,1,5,6,17,1,2,8,250,0
635,0,1,0,1,0,3,6,16,1,,,300,0
636,0,0,0,1,0,8,6,18,1,1,1,250,0
637,0,1,0,1,0,8,1,26,1,2,1,300,0
114,0,1,0,1,0,5,18,27,1,0.5,0,650,2
115,0,1,0,1,0,7,18,22,2,1,2,800,7
116,0,1,0,1,0,4,18,28,1,0.5,2,650,2
117,0,1,0,1,0,6,3,22,1,2,4,800,5
118,0,1,0,1,0,3,18,22,1,0.5,0,300,2
120,0,1,0,1,0,2,18,,,,,,2
271,0,0,0,1,0,5,5,19,1,,,400,3
272,0,1,0,0,0,4,3,22,1,,2,400,
273,0,1,0,1,0,4,15,29,1,2,,400,1
274,0,1,0,1,0,5,17,18,1,,,200,3
275,0,1,0,1,0,6,7,18,1,,,200,3
276,0,1,0,1,1,5,5,17,1,1,,300,3
277,0,1,0,1,0,9,18,18,2,1.5,,650,0
278,0,1,0,1,0,3,5,19,1,,,300,2
132,0,0,0,1,1,5,1,17,3,2,0,600,1
133,1,0,0,0,0,5,3,13,1,0,0,800,2
134,1,0,0,1,0,3,0.3,14,1,20,0,500,0
135,0,0,0,1,1,4,2,21,1,0.5,0,600,0
136,0,0,0,0,0,1,,20,1,0.5,0,100,1
148,0,1,0,1,0,6,12,20,1,1,1,1000,5
149,0,1,0,1,0,5,12,20,1,1.5,4,850,4
150,0,1,0,1,0,6,9,31,2,2,0,1000,3
151,0,1,0,1,0,2,15,16,,,,300,
152,0,1,0,1,0,5,13,19,1,2,2,600,2
153,0,1,0,1,1,4,6,17,1,20,2,,4
154,0,1,0,1,0,7,15,15,1,0.5,2,500,0
155,0,1,0,1,0,5,15,27,1,1.5,2,720,4
70,0,1,0,0,0,5,6,29,2,2,,700,3
71,0,1,0,1,1,5,20,19,2,2,2,850,5
72,0,1,1,1,1,6,4,18,2,2,1,700,3
73,1,1,0,1,1,5,18,17,7,2,22,500,2
74,1,1,0,1,1,6,4,18,1,0.5,,800,3
75,1,0,0,1,1,6,4,21,1,2,2,680,2
76,0,1,0,,,4,20,23,1,1,,450,2
77,0,1,1,1,,3,20,15,2,1,,400,1
79,0,1,0,1,0,4,24,20,1,1,,800,4
78,0,0,0,0,1,4,3,17,7,2,,500,2
279,1,1,0,1,0,4,9,19,1,1.5,1,300,1
280,1,1,0,0,0,5,9,27,1,1,1,1000,2
281,0,0,0,1,1,8,2,16,2,2,0,850,2
282,0,1,0,0,1,4,10,20,1,0.5,,350,4
283,0,1,0,1,1,5,8,15,1,0.5,,800,0
56,0,0,0,1,1,6,17,20,1,1,,800,3
57,0,0,0,1,1,2,17,33,1,1,,500,
58,0,0,0,1,1,3,3,18,1,1,,500,
59,0,0,0,1,0,8,10,20,2,,3,850,3
60,0,0,0,1,0,5,17,23,1,1,3,850,2
61,0,0,0,1,0,6,17,20,1,1,,850,
62,0,0,0,1,0,3,17,25,2,1,,850,2
63,0,0,0,1,0,6,17,18,1,,,,3
64,0,0,0,1,1,5,17,18,1,1,,500,
65,0,0,0,1,1,6,3,18,1,1,,950,1
658,0,1,0,1,0,5,6,22,1,1,3,700,2
659,0,1,0,1,0,4,25,18,1,1.5,1,850,2
660,1,0,0,0,1,4,18,19,1,1.5,1,900,2
661,0,0,0,1,0,6,20,30,1,1,0,900,3
673,0,1,0,1,0,6,10,21,1,1,1,750,1
66,0,1,0,1,1,6,12,21,1,1,1,1000,
67,0,1,0,1,1,4,18,20,1,0.5,3,400,1
68,0,0,0,1,,4,10,27,1,1.5,4,600,2
69,0,0,0,1,1,6,4,18,1,,3,800,1
143,0,1,0,1,0,5,5,24,1,1.5,1,800,0
144,0,1,0,1,0,4,2,22,1,1,,900,1
145,0,1,0,1,0,9,18,19,2,2,3,930,3
146,0,1,0,0,0,5,18,20,1,1,4,400,0
147,0,1,0,1,0,5,11,24,1,1.5,0,900,5
770,0,1,0,0,0,5,4,15,1,3,,500,
777,0,1,0,1,0,4,6,18,1,,,400,
779,0,1,0,1,0,3,6,18,1,2,,300,
778,0,1,0,0,1,4,5,15,1,,,,
765,0,1,0,1,0,3,,22,,,,,
766,0,1,0,1,0,2,,,,,,,
767,0,1,0,1,0,4,6,15,1,2,,400,
768,0,1,0,1,0,5,7,17,1,1,,400,
769,0,1,0,1,0,5,6,16,1,2,3,500,
80,0,1,0,1,,1,18,18,1,0.5,,300,1
81,0,0,0,1,0,6,18,,2,0.75,3,800,
82,1,1,0,,1,5,18,,1,0.75,1,520,2
83,0,1,0,1,0,3,18,20,1,2,4,680,3
84,0,0,0,1,0,5,2,,1,1,,750,4
85,0,1,0,1,1,3,18,,1,1,2,850,
86,0,0,0,1,0,3,18,20,1,1.5,2,,3
87,0,0,0,1,1,5,18,15,1,1,3,700,2
638,0,0,0,1,0,4,15,22,1,,3,,0
639,1,1,0,1,1,4,19,30,1,1.5,0,500,3
640,0,1,0,1,1,5,13,20,1,2,1,400,
641,0,1,0,1,0,4,13,21,1,1.5,2,250,2
642,0,1,0,1,0,6,13,21,1,0,0,200,4
644,0,1,0,1,0,2,18,28,1,,,,
645,0,1,0,1,0,4,10,15,1,2,1,200,2
646,,1,0,1,1,4,16,17,2,2,3,400,2
667,0,1,0,1,0,7,14,24,1,0.7,1,950,2
668,0,1,0,1,0,6,18,16,1,1.5,0,1000,2
669,0,1,0,1,1,7,17,18,1,0.5,0,800,1
215,0,1,0,1,1,5,10,22,1,0,1,750,4
216,0,1,0,1,1,5,15,25,2,2,1,800,2
217,0,1,0,1,1,4,4,16,1,0.2,1,700,1
218,0,1,0,1,0,4,11,21,2,14,,800,3
219,0,1,0,1,0,4,2,35,1,0.5,12,400,2
220,0,1,0,1,0,7,18,15,1,0.5,2,750,2
221,0,1,0,1,1,5,9,23,2,0.5,5,400,2
222,0,1,0,1,0,7,17,18,1,0.5,2,600,2
223,0,1,0,1,0,3,7,22,1,0.5,1,400,1
224,0,1,0,1,1,7,18,20,1,0.5,,,4
294,0,1,0,1,1,5,18,26,1,1,1,500,5
295,0,1,0,1,1,5,18,22,1,1.5,2,400,5
296,0,1,0,1,1,3,18,16,2,2,1,400,1
297,0,,0,1,0,6,10,28,2,1,2,700,2
298,0,1,0,1,1,3,18,25,1,1,3,400,2
299,0,1,0,1,1,4,17,26,2,1,2,450,0
88,0,1,0,1,0,5,18,23,1,0.1,3,100,5
89,0,0,0,1,1,6,18,36,1,2,3,600,4
90,0,0,0,0,1,8,18,17,1,2,2,1000,2
91,0,0,0,1,0,4,12,25,1,0.5,1,600,2
92,0,0,0,1,0,5,10,22,1,1.5,2,500,5
93,0,1,0,1,0,5,1,23,1,1.5,1,700,3
254,0,1,0,1,0,5,18,20,2,,2,700,3
255,0,1,0,0,0,0,8,29,1,1.5,0,450,1
256,0,0,0,1,1,5,18,20,2,1,0,700,0
257,0,1,0,1,1,6,18,22,1,1,4,700,1
771,0,0,0,0,1,5,30,18,1,0.5,0,90,0
773,0,1,0,1,1,5,1,19,1,1,,,
774,0,0,0,1,1,6,18,15,2,1,3,600,3
653,0,1,0,1,1,5,6,27,1,1,1,1000,1
654,0,1,0,0,0,4,17,18,2,1,0,800,0
655,0,0,0,1,,3,17,19,1,,,850,3
656,0,0,0,1,0,2,18,25,1,1,,,2
657,0,1,0,1,0,5,14,20,1,0,0,0,2
284,0,1,0,1,0,5,19,20,1,0.5,0,850,0
285,0,0,0,0,0,7,19,18,1,1.5,1,850,1
286,0,0,0,1,0,8,8,18,1,1,1,800,1
287,0,0,0,1,0,5,19,24,1,30,0,850,2
288,0,1,0,1,0,6,19,18,1,0.3,0,800,6
289,1,1,0,1,0,2,4,17,1,1.5,0,600,0
290,1,0,0,1,0,10,19,20,2,1,0,800,0
291,1,1,0,1,0,6,4,25,1,1,0,850,2
292,0,0,0,1,0,4,5,20,1,0.5,0,700,3
293,1,0,0,1,1,7,6,18,1,1.5,0,930,4
624,0,1,0,1,0,6,35,20,1,0.5,0,400,6
625,0,1,0,1,0,8,35,15,1,0.5,,200,8
626,0,1,0,1,0,8,35,20,1,0.5,,400,8
627,0,1,0,1,0,7,35,18,5,3,0,450,7
628,0,1,0,1,0,3,35,20,1,0.5,,200,3
629,0,1,0,1,0,13,35,18,1,1,,250,9
630,0,1,0,1,0,10,35,21,1,2,,300,10
320,0,0,0,1,0,4,2,34,1,2,3,750,3
321,0,0,0,1,0,4,1,22,1,2,,380,1
322,0,0,1,1,0,7,5,18,1,1,3,800,3
323,0,0,0,1,0,2,2,3,1,2,,750,1
324,0,0,0,1,0,3,5,38,1,3,4,450,3
325,0,0,0,1,0,4,6,20,1,3,2,600,2
326,0,0,0,1,0,6,7,19,1,2,4,800,3
732,0,1,1,0,1,13,18,18,4,0.75,1,1500,3
733,0,0,0,1,1,5,10,20,1,0.75,2,800,5
734,1,1,0,1,1,9,18,15,2,,1,1300,4
735,0,1,0,1,1,5,18,24,1,,1,900,2
736,0,1,0,1,1,9,10,22,1,0.75,1,850,4
46,0,0,0,1,1,3,18,20,1,1,2,850,1
47,0,0,0,1,1,3,18,17,1,1,0,640,2
48,1,0,0,1,0,6,18,21,3,2,0,1000,4
49,0,0,0,1,0,2,18,21,1,2,0,850,2
50,0,0,0,1,1,3,18,25,2,,,600,3
51,0,0,0,1,,1,10,,1,2,,600,1
52,0,0,0,1,0,7,15,14,2,1,0,1000,4
53,0,0,0,1,0,3,15,20,1,2,0,850,3
54,0,0,0,1,0,3,18,22,1,1,0,600,3
55,0,0,0,1,0,5,18,22,1,2,0,800,5
611,0,0,0,1,1,5,18,20,1,2,1,200,1
612,0,0,0,1,0,3,19,25,1,2,2,450,1
613,0,1,0,1,1,6,19,22,1,2,1,500,1
614,0,1,0,1,1,6,18,,1,1,0,400,
26,0,1,0,1,1,4,9,21,1,0.3,,600,2
27,0,1,0,1,1,5,8,22,1,1,,800,1
28,0,1,0,1,1,5,1,28,1,0.5,,400,
29,0,1,0,1,0,6,8,34,3,,,900,1
30,0,1,0,0,1,10,10,22,2,,,900,8
31,0,1,0,1,1,5,22,20,1,1,2,90,2
264,0,0,0,0,0,3,20,18,0,,,250,2
265,0,0,0,1,0,6,20,19,1,,,500,6
266,0,0,0,0,0,2,10,18,0,,,0,
267,0,0,0,1,0,7,12,26,1,,,800,0
268,0,0,0,0,0,2,20,15,1,0.2,,400,2
269,0,0,0,0,0,2,20,18,1,,,600,
270,0,0,0,0,0,1,20,18,,,,250,
184,0,0,0,1,1,6,18,24,1,0,8,200,4
185,0,0,0,1,1,4,12,20,1,0,4,180,2
186,0,0,0,1,0,7,28,19,2,2,3,0,5
187,0,1,0,1,1,7,22,24,1,1,3,250,5
188,1,0,0,1,0,5,3,18,1,0,0,500,4
137,0,1,0,1,1,6,18,22,2,1.5,,600,
138,0,1,0,1,0,8,6,20,3,,,750,2
139,0,1,0,1,1,3,18,32,1,2,,400,2
140,0,1,0,1,1,5,18,18,1,1.5,3,470,1
141,,1,0,1,0,3,18,18,2,,,,
142,0,1,0,1,0,5,8,,,,,,
104,0,0,0,1,,3,20,15,1,1.5,,250,
105,1,1,0,1,0,6,20,18,1,0,,800,4
106,1,1,0,1,0,5,9,15,3,0,2,700,4
107,1,1,0,1,0,7,8,35,1,0.5,,800,1
156,0,1,0,1,0,6,18,17,1,1,3,800,0
157,0,0,0,1,1,6,18,20,1,0,2,600,0
158,0,1,0,1,0,5,12,20,1,1,0,930,4
159,0,1,0,1,0,3,6,18,1,1,0,500,0
160,0,1,0,1,0,5,18,19,1,0,2,700,0
161,0,1,0,1,0,6,15,17,1,,3,850,3
162,0,1,0,1,0,5,15,20,0,,2,600,3
163,0,1,0,1,1,3,7,28,1,20,2,600,2
258,0,1,0,1,0,5,18,22,1,1,6,600,2
259,0,1,0,1,0,5,9,16,1,0.6,6,600,0
260,0,1,0,1,0,9,19,18,1,0.7,,800,0
261,,1,0,1,0,9,25,10,2,2,3,1000,2
262,0,1,0,1,0,2,13,25,1,1,7,800,0
263,0,1,0,1,0,3,18,18,1,1,3,50,3
760,0,0,0,1,0,5,10,18,1,1,0,850,5
761,0,0,0,1,1,4,11,16,1,1,0,850,4
762,,1,0,1,0,6,20,18,1,1,1,950,6
763,0,0,0,1,0,4,12,19,1,2,0,850,4
764,0,0,0,1,0,5,10,19,1,1,0,850,5
715,0,0,0,1,0,5,3,19,2,1,0,950,3
716,0,0,0,1,1,5,6,19,1,0.6,0,930,3
717,0,0,0,1,1,5,13,29,1,1,1,980,2
718,0,1,0,1,1,6,10,23,1,1,0,800,1
719,0,1,0,1,0,6,8,16,2,1,0,900,3
720,0,1,0,1,1,4,2,15,1,0.4,0,500,2
721,0,1,0,1,1,7,3,18,1,1.75,0,850,4
722,0,1,0,1,1,7,4,26,1,1,0,850,5
723,0,1,0,1,0,6,3,15,1,2,0,750,1
724,0,1,0,1,1,6,5,22,1,0.5,0,480,3
197,0,1,0,1,1,5,2,23,1,0.75,2,480,2
198,0,1,0,1,1,5,22,19,1,1.5,3,50,2
199,0,1,0,1,0,4,25,33,1,1,1,600,2
200,0,1,0,1,1,6,3,26,7,1.5,2,520,2
201,0,1,0,1,1,4,30,20,1,0.5,1,60,4
686,1,1,0,1,0,5,35,27,2,,,,
683,1,1,0,0,1,4,,,,,,,
685,1,1,0,0,0,3,,,,,,,
684,1,1,0,1,0,5,,,,,,,
674,0,0,0,1,0,5,35,32,1,,0,475,5
675,0,0,0,1,1,10,35,17,2,,2,900,0
676,0,0,0,1,0,8,25,18,2,0,8,1000,4
677,0,0,0,1,0,7,36,27,1,,,860,6
609,0,,0,1,,4,31,16,1,1,3,930,1
608,0,,0,1,0,3,15,21,1,1,,930,1
607,0,,0,1,0,3,30,18,1,1,,930,3
606,0,,0,1,0,3,7,23,1,0.65,,930,2
610,0,,0,1,,3,29,,1,2,,,2
363,0,0,0,1,1,4,5,30,1,2,3,350,2
364,0,0,0,1,1,8,7,18,1,2,0,500,3
365,0,0,0,1,1,2,4,20,1,1,0,450,1
366,0,0,0,1,1,3,3,22,1,2,2,280,2
367,0,0,0,1,1,3,4,28,1,0.5,0,100,3
368,0,0,0,1,1,6,10,18,1,2,0,400,0
369,0,0,0,1,1,5,4,17,1,2,0,300,2
384,0,1,0,1,0,7,5,,1,1,,600,5
383,0,1,0,1,0,9,35,22,2,,0,750,1
382,0,0,0,0,0,6,22,17,,,,,
381,0,0,0,1,0,3,30,19,1,,,600,2
380,0,0,,1,1,3,8,24,1,0.65,0,450,3
616,0,,0,1,0,4,30,35,2,0.65,4,950,4
615,0,,0,1,0,5,18,21,1,1,,950,5
617,0,,0,1,,5,18,45,1,0,0,930,0
678,0,1,0,1,0,7,33,30,1,5,1,600,1
679,0,1,0,1,0,7,20,34,1,1,,700,1
680,0,1,0,1,0,6,7,22,1,1,0,700,1
681,0,1,0,1,0,6,20,22,1,0.65,0,500,3
682,0,1,0,1,0,8,30,20,1,5,1,500,1
390,0,1,0,1,0,4,1,18,1,1,1,600,4
391,0,1,0,1,0,5,30,32,1,2,1,950,5
392,0,1,0,1,0,6,2,22,1,1,4,800,6
393,0,1,0,1,0,6,14,24,1,1,1,950,2
394,0,1,0,1,0,8,3,23,1,3,1,1000,5
395,0,1,0,1,0,6,34,20,1,2,1,600,2
396,0,1,0,1,0,5,7,22,1,2,1,800,2
346,0,1,0,1,0,6,3,16,1,0.2,0,1000,5
347,0,0,0,1,0,8,15,17,3,,,1250,8
348,0,1,0,1,0,4,28,21,1,1.5,0,780,0
349,0,0,0,1,0,8,25,17,1,,0,,6
350,0,1,0,1,0,5,30,24,1,2,0,,5
351,0,1,0,0,0,3,4,20,1,1,0,850,0
352,0,1,0,1,0,5,30,23,1,,0,500,5
601,0,1,0,1,0,7,32,31,2,1,2,700,5
602,0,1,0,1,1,6,13,13,1,1,2,800,5
603,0,1,0,1,1,6,28,26,2,3,2,600,6
604,0,1,0,1,1,8,35,15,2,0.5,1,600,8
605,0,1,0,1,1,5,28,21,2,1,2,280,5
353,0,1,0,1,0,8,6,16,1,,3,,6
354,0,1,0,1,0,4,3,23,1,,,,1
355,0,1,0,1,0,3,20,21,1,,,200,3
356,0,1,0,1,0,1,20,20,,,,,1
357,0,1,0,1,0,4,9,20,1,,1,,
358,0,1,0,1,0,5,13,21,1,,2,,2
359,0,1,0,1,0,5,20,20,1,,2,,2
360,0,1,0,1,0,6,28,20,1,,1.2,,4